name,code,price,category,unit,stock,description,barcode,moysklad_id
Арматура А500C ф 10 Северсталь,00181,30.0,Арматура,м,0,,2000000001975,cd1795e7-a5a1-11ea-0a80-00ac0020ce5e
Арматура А500C ф 12 Северсталь,00256,40.0,Арматура,м,0,,2000000002729,cd196ba1-a5a1-11ea-0a80-00ac0020ce61
Арматура А500C ф 14 Северсталь,00209,65.0,Арматура,м,0,,2000000002255,cd1b3a6e-a5a1-11ea-0a80-00ac0020ce64
Арматура А500C ф 16 Северсталь,00262,68.0,Арматура,м,0,,2000000002781,cd1d2527-a5a1-11ea-0a80-00ac0020ce67
Арматура А500C ф 18 Северсталь,00253,95.0,Арматура,м,0,,2000000002699,cd1ef8ac-a5a1-11ea-0a80-00ac0020ce6a
Арматура А500C ф 6 Северсталь,00166,14.0,Арматура,м,0,,2000000001685,e794e1c4-a517-11ea-0a80-00ac0000df7d
Арматура А500C ф 8 Северсталь,00221,20.0,Арматура,м,0,,2000000002378,cd159031-a5a1-11ea-0a80-00ac0020ce5b
Арматура А500C ф20 Северсталь,00203,120.0,Арматура,м,0,,2000000002194,cd20c5a3-a5a1-11ea-0a80-00ac0020ce6d
Арматура А500C ф22 Северсталь,00310,93.0,Арматура,м,0,,2000000003405,cf0892f1-b5ef-11ea-0a80-00c1000366b9
Арматура А500C ф28Северсталь,00374,195.0,Арматура,м,0,,2000000004389,9d69c549-570d-11eb-0a80-030b002b5632
Балка двутавровая стальная 10 Северсталь,00244,1050.0,Балка,м,0,,2000000002606,ceeb555c-a5a1-11ea-0a80-00ac0020d002
Балка двутавровая стальная 12 Северсталь,00238,1350.0,Балка,м,0,,2000000002545,ceef8108-a5a1-11ea-0a80-00ac0020d00b
Балка двутавровая стальная 14 Северсталь,00259,1700.0,Балка,м,0,,2000000002750,cef3339b-a5a1-11ea-0a80-00ac0020d014
Балка двутавровая стальная 16 Северсталь,00195,1950.0,Балка,м,0,,2000000002118,cef6c5f4-a5a1-11ea-0a80-00ac0020d01d
Балка двутавровая стальная 18 Северсталь,00245,1400.0,Балка,м,0,,2000000002613,cefa7d48-a5a1-11ea-0a80-00ac0020d025
Балка двутавровая стальная 20 Северсталь,00240,1550.0,Балка,м,0,,2000000002569,ceff24bf-a5a1-11ea-0a80-00ac0020d02f
Балка двутавровая стальная Б1 10 Северсталь,00239,1000.0,Балка,м,0,,2000000002552,ceed563c-a5a1-11ea-0a80-00ac0020d007
Балка двутавровая стальная Б1 12 Северсталь,00184,1050.0,Балка,м,0,,2000000002002,cef183f1-a5a1-11ea-0a80-00ac0020d010
Балка двутавровая стальная Б1 14 Северсталь,00180,1500.0,Балка,м,0,,2000000001968,cef4e9dd-a5a1-11ea-0a80-00ac0020d018
Балка двутавровая стальная Б1 16 Северсталь,00218,1600.0,Балка,м,0,,2000000002347,cef8b483-a5a1-11ea-0a80-00ac0020d021
Балка двутавровая стальная Б1 18 Северсталь,00246,900.0,Балка,м,0,,2000000002620,cefcb74a-a5a1-11ea-0a80-00ac0020d029
Балка двутавровая стальная Б1 20 Северсталь,00200,3000.0,Балка,м,0,,2000000002163,cf01830d-a5a1-11ea-0a80-00ac0020d033
"Комплект откатных ворот 6 м, стальные ролики до 450 кг",00458,12500.0,Без категории,шт,0,,2000000005690,d2c0e293-c76c-11f0-0a80-1aee0015a475
"Комплект откатных ворот 7 м, стальные ролики до 450 кг",00459,13500.0,Без категории,шт,0,,2000000005706,14e3c120-c76d-11f0-0a80-0264001629d6
Крепежное изделия для мачтового подъемника ПМГ,00442,3989.0,Без категории,шт,0,,2000000005393,00077542-668c-11ee-0a80-13b0004b4611
"Профнастил С21 7024 оцинкованный 0,5мм",00450,1180.0,Без категории,м,0,,2000000005485,a333db6b-7ef0-11ee-0a80-0b35000f0d12
"Профнастил С8 1150х1,3х0,4мм цвет серый RAL 7004",00418,670.0,Без категории,шт,0,,2000000005102,6cdd7f2a-217b-11ee-0a80-0f3d00260a08
Снегозадержатель  20х40мм вишня RAL 3005 Borge 3м,00449,1500.0,Без категории,шт,0,,2000000005478,241aa44a-77e0-11ee-0a80-0cfa000fd4fc
Снегозадержатель  20х40мм зеленый RAL 6005 Borge 3м,00447,1500.0,Без категории,шт,0,,2000000005447,6e9420f2-727a-11ee-0a80-00c100161750
Снегозадержатель  20х40мм коричневый RAL 8017Borge 3м,00437,1500.0,Без категории,шт,0,,2000000005324,6bad606e-32c4-11ee-0a80-0b7f000f359a
Снегозадержатель  20х40мм серый RAL7024 Borge 3м,00448,1500.0,Без категории,шт,0,,2000000005454,f47def19-727a-11ee-0a80-0c5200156cac
Снегозадержатель оц. 45х25мм коричневый RAL 8017 Borge 3м,00438,2500.0,Без категории,шт,0,,2000000005331,df942c4f-32c4-11ee-0a80-0dca000f9a5c
Снегозадержатель оц. 45х25мм серый RAL 7024 Borge 3м,00439,2500.0,Без категории,шт,0,,2000000005355,2a4fd9b9-32c5-11ee-0a80-02fd000f59e5
"Труба профильная 100х100х3,5",00457,650.0,Без категории,м,0,,2000000005607,716ba59e-95cc-11ef-0a80-1841000846ec
Заглушка пластиковая 100х100,00294,40.0,Заглушки,шт,0,,2000000003153,61ddb41d-a77f-11ea-0a80-012a0003c2f3
Заглушка пластиковая 100х50,00293,30.0,Заглушки,шт,0,,2000000003146,61dfe0af-a77f-11ea-0a80-012a0003c2f7
Заглушка пластиковая 15х15,00284,5.0,Заглушки,шт,0,,2000000003054,61c54bef-a77f-11ea-0a80-012a0003c2b3
Заглушка пластиковая 20х20,00295,5.0,Заглушки,шт,0,,2000000003160,61c6bb12-a77f-11ea-0a80-012a0003c2b7
Заглушка пластиковая 25х25,00296,7.0,Заглушки,шт,0,,2000000003177,61c839db-a77f-11ea-0a80-012a0003c2bb
Заглушка пластиковая 30х20,00300,6.0,Заглушки,шт,0,,2000000003214,61cb02f8-a77f-11ea-0a80-012a0003c2c3
Заглушка пластиковая 30х30,00285,6.0,Заглушки,шт,0,,2000000003061,61c994aa-a77f-11ea-0a80-012a0003c2bf
Заглушка пластиковая 40х20,00283,7.0,Заглушки,шт,0,,2000000003047,61cdec37-a77f-11ea-0a80-012a0003c2cb
Заглушка пластиковая 40х25,00298,6.0,Заглушки,шт,0,,2000000003191,61cf6195-a77f-11ea-0a80-012a0003c2cf
Заглушка пластиковая 40х40,00290,8.0,Заглушки,шт,0,,2000000003115,61cc8ce0-a77f-11ea-0a80-012a0003c2c7
Заглушка пластиковая 50х25,00297,8.0,Заглушки,шт,0,,2000000003184,61d2aa81-a77f-11ea-0a80-012a0003c2d7
Заглушка пластиковая 50х50,00289,15.0,Заглушки,шт,0,,2000000003108,61d0c82c-a77f-11ea-0a80-012a0003c2d3
Заглушка пластиковая 60х30,00291,10.0,Заглушки,шт,0,,2000000003122,61d7a90c-a77f-11ea-0a80-012a0003c2e3
Заглушка пластиковая 60х40,00288,10.0,Заглушки,шт,0,,2000000003092,61d90cdf-a77f-11ea-0a80-012a0003c2e7
Заглушка пластиковая 60х60,00286,15.0,Заглушки,шт,0,,2000000003078,61d46d9a-a77f-11ea-0a80-012a0003c2db
